permit number,description,building type,completed date
6759083-CN,"Construct south Single-Family Residence with AADU, per plan. (Establish use as duplex and single family residence and construct (1) duplex and (1) single family residence with AADU and substantial alterations to convert existing triplex to a single-family residence with an AADU. Review and process for (3) record numbers under 6755068-CN)",Single Family/Duplex,2022-02-25T00:00:00.000
6720661-CN,"Construct south townhouse, per plan. (Establish use as and construct 2 townhouse structures, per plan. Review & process for 2 records under #6692748-CN).",Multifamily,2022-02-25T00:00:00.000
6692748-CN,"Construct north townhouse, per plan. (Establish use as and construct 2 townhouse structures, per plan. Review & process for 2 records under #6692748-CN).",Multifamily,2022-02-25T00:00:00.000
6805374-CN,"Establish use as and construct new single family residence with detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2022-02-24T00:00:00.000
6796036-CN,"Construct east duplex. [Establish use and Construct duplexes, per plan. Review and processing for (2) construction records under 6787107-CN.]",Single Family/Duplex,2022-02-24T00:00:00.000
6787107-CN,"Construct west duplex. [Establish use and Construct duplexes, per plan. Review and processing for (2) construction records under 6787107-CN.]",Single Family/Duplex,2022-02-24T00:00:00.000
6693557-CN,"Establish use as and construct a single-family residence with an accessory dwelling unit (ADU) and attached garage in the basement, per plans.",Single Family/Duplex,2022-02-24T00:00:00.000
6600710-CN,"Construct new single family residence bldg. A to the West, per plan.  (Establish use as live work and residential use and construct 1 new townhouse structure and 1 new single family residence, per plan.  Review & process for 2 AP's under permit #6569896).",Multifamily,2022-02-24T00:00:00.000
6784537-CN,"Establish use as and construct a single family residence and a detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2022-02-23T00:00:00.000
6735685-CN,"Construct new North townhouse structure (units 1,2 & 3), per plan. (Establish use as and construct 2 new townhouse structures, per plan. Review & process for 2 records under permit # 6735685-CN).",Multifamily,2022-02-23T00:00:00.000
6653033-CN,"Establish use and construct assisted living apartment building, and occupy, per plan.",Multifamily,2022-02-23T00:00:00.000
