permit number,description,building type,completed date
6739393-CN,"Construct south 3-unit townhouse, per plan. (Establish use as rowhouse and townhouse and construct 2 3-unit townhouses. Review and processing for 2 records under #6732117-CN)",Multifamily,2021-10-22T00:00:00.000
6583380-CN,"Establish use as single family residence and construct one family dwelling, per plans.",Single Family/Duplex,2021-10-21T00:00:00.000
6749873-CN,"Construct new middle duplex structure (units 4 & 5), per plan. (Establish use as and construct 2 new townhouse structures and 1 new duplex, per plan. Review & process for 3 records under permit # 6688742-CN).",Multifamily,2021-10-20T00:00:00.000
6769869-CN,"Construct new detached accessory dwelling unit (DADU) for existing single family residence, per plan.",Single Family/Duplex,2021-10-20T00:00:00.000
6700231-CN,"Establish Use and Construct new single-family residence with detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2021-10-20T00:00:00.000
6688742-CN,"Construct new West townhouse structure (units1, 2 & 3), per plan. (Establish use as and construct 2 new townhouse structures and 1 new duplex, per plan. Review & process for 3 records under permit # 6688742-CN).OK to proceed.",Multifamily,2021-10-20T00:00:00.000
6747100-CN,"Construct south duplex, per plan (Establish use as and construct a single-family dwelling and a duplex. Review and process for 2 record numbers under 6735600-CN).",Single Family/Duplex,2021-10-15T00:00:00.000
6769468-CN,"Establish use as townhouse and construct duplex, and occupy, per plan.  Existing single family residence to remain.",Single Family/Duplex,2021-10-15T00:00:00.000
6616864-CN,"Construct west apartment building, per plans (Establish use as townhouse and single-family and construct an apartment building with below grade parking and a single-family residence, occupy per plans. Reviews and process for 2 A/P's under 6616864)",Multifamily,2021-10-15T00:00:00.000
6607336-CN,"Establish use as multi-family structure, construct 18-unit apartment building and occupy, per plans.",Multifamily,2021-10-13T00:00:00.000
6727514-CN,"Construct East townhouse, per plan. [Establish use as rowhouses and townhouses and Construct (2) townhouse structures, per plan. Review and processing for (2) construction records under 6686288-CN.]",Multifamily,2021-10-12T00:00:00.000
6703169-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2021-10-12T00:00:00.000
6686288-CN,"Construct West townhouse, per plan. [Establish use as rowhouses and townhouses and Construct (2) townhouse structures, per plan. Review and processing for (2) construction records under 6686288-CN.]",Multifamily,2021-10-12T00:00:00.000
6618850-CN,"Establish use as and construct new townhouse structure with attached parking, per plan.",Multifamily,2021-10-12T00:00:00.000
6729824-CN,"Establish use as and construct a new single family residence, per plan.",Single Family/Duplex,2021-10-11T00:00:00.000
6733691-CN,"Construct north duplex (TH1 & TH2), per plan. (Establish use as townhouse and construct 2 duplexes, per plan.  Review & process for 2 records under permit # 6733691-CN)",Single Family/Duplex,2021-10-09T00:00:00.000
6670211-CN,"Establish use as and construct a single-family residence, per plan.",Single Family/Duplex,2021-10-08T00:00:00.000
6762180-CN,"Construct middle single-family residence. [Establish use and construct single-family residences, per plan. Review and processing for (3) construction records under 6733152-CN.]",Single Family/Duplex,2021-10-06T00:00:00.000
6762183-CN,"Construct south single-family residence. [Establish use and construct single-family residences, per plan. Review and processing for (3) construction records under 6733152-CN.]",Single Family/Duplex,2021-10-06T00:00:00.000
6675564-CN,"Establish use as rowhouse and construct 5 unit townhouse building with attached garages, per plan.",Multifamily,2021-10-05T00:00:00.000
6733152-CN,"Construct north single-family residence. [Establish use and construct single-family residences, per plan. Review and processing for (3) construction records under 6733152-CN.]",Single Family/Duplex,2021-10-04T00:00:00.000
6673286-CN,"Construct new single family residence with accessory dwelling unit, per plan.",Single Family/Duplex,2021-10-04T00:00:00.000
6749253-CN,"Establish use as and construct a single-family residence, per plan.",Single Family/Duplex,2021-10-01T00:00:00.000
6778088-CN,"Construct new residential pier to replace existing, per plan.",Single Family/Duplex,2021-10-01T00:00:00.000
6750156-CN,"Establish use as and construct a townhouse, per plan.",Multifamily,2021-10-01T00:00:00.000
6735905-CN,"Establish use as row house and construct new townhouse building, per plan.",Multifamily,2021-10-01T00:00:00.000
6609180-CN,"Establish use and construct new single family residence, per plan.",Single Family/Duplex,2021-10-01T00:00:00.000
6777406-CN,"Construct middle single family residence with detached accessory dwelling unit (DADU), per plan. (Establish use as and construct (3) single family residences and (2) detached accessory dwelling units (DADU), per plan. Review & process for 3 records under # 6771034-CN).",Single Family/Duplex,2021-09-30T00:00:00.000
6790521-CN,"Establish use and Construct single-family residence with detached accessory dwelling unit [DADU], per plan.",Single Family/Duplex,2021-09-30T00:00:00.000
6779077-CN,"Construct South Duplex, per plan. (Establish use as duplex and construct two duplex units. Review and process for (2) record numbers under 6775178-CN)",Single Family/Duplex,2021-09-30T00:00:00.000
6777412-CN,"Construct south single family residence, per plan. (Establish use as and construct (3) single family residences and (2) detached accessory dwelling units (DADU), per plan. Review & process for 3 records under # 6771034-CN).",Single Family/Duplex,2021-09-30T00:00:00.000
6775178-CN,"Construct NW duplex A, per plan. (Establish use as duplex and construct two duplex units. Review and process for (2) record numbers under 6775178-CN).",Single Family/Duplex,2021-09-30T00:00:00.000
6719692-CN,"Establish use as and construct single family residence with attached garage, per plan.",Single Family/Duplex,2021-09-29T00:00:00.000
6776631-CN,Construct east townhouse (Establish use as townhouse and construct (1) townhouse & (2) duplex structures.  Review & process (3) records under 6771013-CN),Single Family/Duplex,2021-09-28T00:00:00.000
6776635-CN,Construct north duplex (Establish use as townhouse and construct (1) townhouse & (2) duplex structures.  Review & process (3) records under 6771013-CN),Single Family/Duplex,2021-09-28T00:00:00.000
6771013-CN,Construct south duplex (Establish use as townhouse and construct (1) townhouse & (2) duplex structures.  Review & process (3) records under 6771013-CN),Single Family/Duplex,2021-09-28T00:00:00.000
6785990-CN,"Establish use as and construct a single-family residence and a detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2021-09-27T00:00:00.000
6748540-CN,"Establish use as and Construct single-family residence with detached accessory dwelling unit [DADU], per plan.",Single Family/Duplex,2021-09-27T00:00:00.000
6674541-CN,"Construct three unit townhouse with surface parking, per plan (Construct three unit townhouse and five unit townhouse with surface parking, per plan - processing for 2 records under 6629426-CN)",Multifamily,2021-09-24T00:00:00.000
6778456-CN,"Construct duplex, per plan. Existing single-family residence to remain.",Single Family/Duplex,2021-09-23T00:00:00.000
6754820-CN,"Establish use as rowhouse and construct townhouse structure, per plan.",Multifamily,2021-09-23T00:00:00.000
6741108-CN,"Establish use as rowhouse and construct townhouse structure, per plan.",Single Family/Duplex,2021-09-23T00:00:00.000
6615994-CN,"Construct new mixed-use building with underground parking garage, occupy per plan.  Mechanical is included. Shoring and excavation work under No. 6634347-CN.",Multifamily,2021-09-23T00:00:00.000
6761201-CN,"Construct East townhouse building, per plan (Establish use as and construct (2) townhouse buildings, review and process for 2 CN's under 6732118)",Multifamily,2021-09-22T00:00:00.000
6743372-CN,"Establish use and Construct townhouses, per plan.",Multifamily,2021-09-22T00:00:00.000
6472961-CN,"Establish use as and contruct new single family residence, per plan",Single Family/Duplex,2021-09-20T00:00:00.000
6827215-CN,"Please screen STFI - Construct a detached 720 sq ft garage over existing gravel parking area.  Excavation for foundation system, minor grading,  Pour a new concrete apron and sidewalk next to the garage.",Single Family/Duplex,2021-09-17T00:00:00.000
6756389-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2021-09-17T00:00:00.000
6752770-CN,"Construct west townhouse building. [Establish use and Construct townhouses, per plan. Review and processing for (2) construction records under 6737932-CN.]",Single Family/Duplex,2021-09-17T00:00:00.000
6737932-CN,"Construct east townhouse building. [Establish use and Construct townhouses, per plan. Review and processing for (2) construction records under 6737932-CN.]",Single Family/Duplex,2021-09-17T00:00:00.000
6808251-CN,"Alterations to SFR, subject to field inspection, STFI.",Single Family/Duplex,2021-09-16T00:00:00.000
6717212-CN,"Construct east townhouse, per plan. (Establish use as and construct 3 townhouse structures, per plan. Review & process for 3 records under #6717212-CN).",Multifamily,2021-09-16T00:00:00.000
6719779-CN,"Construct middle townhouse, per plan. (Establish use as and construct 3 townhouse structures, per plan. Review & process for 3 records under #6717212-CN).",Multifamily,2021-09-16T00:00:00.000
6719782-CN,"Construct west townhouse, per plan. (Establish use as and construct 3 townhouse structures, per plan. Review & process for 3 records under #6717212-CN).",Multifamily,2021-09-16T00:00:00.000
6648210-CN,"Construct West bldg. per plans. (Establish use as and construct 2 townhouse buildings, per plans. Review and processing for 2 AP""s under 6622162)",Multifamily,2021-09-16T00:00:00.000
6554311-CN,"Establish use as and construct new townhouse with surface parking, per plan",Multifamily,2021-09-15T00:00:00.000
6711469-CN,"Construct EAST duplex, per plan (Establish use and construct west, center and east duplex residences; review and process for three records under 6694511-CN).",Single Family/Duplex,2021-09-14T00:00:00.000
6694511-CN,"Construct WEST duplex, per plan (Establish use and construct west, center and east duplex residences; review and process for three records under 6694511-CN).",Single Family/Duplex,2021-09-14T00:00:00.000
6711468-CN,"Construct CENTER duplex, per plan (Establish use and construct west, center and east duplex residences; review and process for three records under 6694511-CN).",Single Family/Duplex,2021-09-14T00:00:00.000
6722189-CN,"Construct South single family residence, per plan ( Establish use as and construct (2) single family residences review and process for 2 CN's under 6716601).",Single Family/Duplex,2021-09-14T00:00:00.000
6716601-CN,"Construct North single family residence, per plan ( Establish use as and construct (2) single family residences review and process for 2 CN's under 6716601).",Single Family/Duplex,2021-09-14T00:00:00.000
6653105-CN,"Construct new apartment building, and occupy per plan.",Multifamily,2021-09-13T00:00:00.000
6832541-CN,"Construct accessory structure for single-family residence, subject to field inspection [STFI].",Single Family/Duplex,2021-09-10T00:00:00.000
6780705-CN,Complete and final permit # 6546448-CN,Multifamily,2021-09-10T00:00:00.000
6719099-CN,"Establish use as live-work and townhouse and construct a residential building with 3 live-works plus a dwelling unit, occupy per plan.",Multifamily,2021-09-10T00:00:00.000
6623726-CN,"Construct new West Duplex, per plan. (Establish use as and construct 1 new duplex and 1 new single family residence, per plan. Review & process for 2 AP's under permit6623726).",Single Family/Duplex,2021-09-10T00:00:00.000
6651650-CN,"Construct new East Single Family Residence, per plan. (Establish use as and construct 1 new duplex and 1 new single family residence, per plan. Review & process for 2 AP's under permit6623726).",Single Family/Duplex,2021-09-10T00:00:00.000
6771294-CN,"Establish use as townhouse and construct new duplex, per plan.",Multifamily,2021-09-09T00:00:00.000
6779476-CN,"Establish use as and construct new single family residence, per plans.  Existing residence to remain.",Single Family/Duplex,2021-09-08T00:00:00.000
6719661-CN,"New detached structure (study) accessory to a single-family residence, subject to field inspection (STFI).",Single Family/Duplex,2021-09-03T00:00:00.000
6712111-CN,"Establish use as single family residence and construct single family dwelling with attached garage, per plan.",Single Family/Duplex,2021-09-02T00:00:00.000
6597269-CN,"Establish use as and construct a five-unit townhouse building, per plan.",Multifamily,2021-09-02T00:00:00.000
6597263-CN,"Establish use as rowhouse and construct new townhouse structure with surface parking, per plan.",Multifamily,2021-09-02T00:00:00.000
6115868-CN,"Establish use for and construct new single family residence with attached garage, per plan.",Single Family/Duplex,2021-09-02T00:00:00.000
6735827-CN,"Construct new SE single-family residence ( SFR1 ), per plan. (Establish use as and construct 4 new single family residences, per plan.  Review & process for 4 records under permit #6735827-CN).",Single Family/Duplex,2021-09-01T00:00:00.000
6677730-CN,"Construct new West duplex, per plan. (Establish use as and construct 1 new duplex and 1 new single family residence with attached parking.  Review & process for 2 records under permit #6677730-CN).",Single Family/Duplex,2021-09-01T00:00:00.000
6690576-CN,"Construct new East duplex, per plan. (Establish use as and construct 1 new duplex and 1 new single family residence with attached parking.  Review & process for 2 records under permit #6677730-CN).",Single Family/Duplex,2021-09-01T00:00:00.000
6777649-CN,"Establish use as and construct single family residence, per plan (Establish use as and construct single family residence and construct retaining wall on adjacent property review and process for 2 CN's under 6777649-CN).",Single Family/Duplex,2021-08-31T00:00:00.000
6732118-CN,"Construct West townhouse building, per plan (Establish use as and construct (2) townhouse buildings, review and process for 2 CN's under 6732118)",Multifamily,2021-08-31T00:00:00.000
6681302-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2021-08-31T00:00:00.000
6766079-CN,"Establish use and construct southwest (SFR-3) single family residence, per plan (Construction of 4 single family residences - 4 records under 6750977-CN)",Single Family/Duplex,2021-08-30T00:00:00.000
6750977-CN,"Establish use and construct southeast (SFR-1) single family residence, per plan (Establish standard Plan) (Construction of 4 single family residences - 4 records under 6750977-CN)",Single Family/Duplex,2021-08-30T00:00:00.000
6764690-CN,"Construct new NE single-family residence ( SFR2 ), per plan. (Establish use as and construct 4 new single family residences, per plan.  Review & process for 4 records under permit #6735827-CN).",Single Family/Duplex,2021-08-30T00:00:00.000
6766078-CN,"Establish use and construct middle (SFR-2) single family residence, per plan (Construction of 4 single family residences - 4 records under 6750977-CN)",Single Family/Duplex,2021-08-30T00:00:00.000
6764691-CN,"Construct new N single-family residence ( SFR3 ), per plan. (Establish use as and construct 4 new single family residences, per plan.  Review & process for 4 records under permit #6735827-CN).",Single Family/Duplex,2021-08-30T00:00:00.000
6766080-CN,"Establish use / standard plan and construct north (SFR-4) single family residence, per plan (Construction of 4 single family residences - 4 records under 6750977-CN)",Single Family/Duplex,2021-08-30T00:00:00.000
6764692-CN,"Construct new NW single-family residence ( SFR4 ), per plan. (Establish use as and construct 4 new single family residences, per plan.  Review & process for 4 records under permit #6735827-CN).",Single Family/Duplex,2021-08-30T00:00:00.000
6589188-CN,Establish use and construct a single family dwelling with attached garage per plan.,Single Family/Duplex,2021-08-30T00:00:00.000
6697570-CN,"Establish use as rowhouses and construct 7 unit townhouse structure, per plan.",Multifamily,2021-08-27T00:00:00.000
6636569-CN,"Establish use as and construct new multi family building and occupy, per plan.",Multifamily,2021-08-27T00:00:00.000
6714029-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2021-08-26T00:00:00.000
6714024-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2021-08-26T00:00:00.000
6714028-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2021-08-26T00:00:00.000
6708850-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-08-26T00:00:00.000
6708922-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-08-26T00:00:00.000
6714027-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2021-08-26T00:00:00.000
6760303-CN,"Establish use and construct new single family residence and detached accessory dwelling unit (existing SFR to remain), per plans.",Single Family/Duplex,2021-08-25T00:00:00.000
6722105-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-08-25T00:00:00.000
6708032-CN,Establish use as Live-work units (2 units)  per plan.,Single Family/Duplex,2021-08-24T00:00:00.000
6698463-CN,"Establish use as and construct new townhouse and live/work units and occupy, per plan.",Multifamily,2021-08-24T00:00:00.000
6839381-CN,"Construct 200 sq ft shed, per STFI",Single Family/Duplex,2021-08-23T00:00:00.000
6780392-CN,"Establish use as and construct a single family residence, a detached accessory dwelling unit (DADU) and a detached garage, per plan.",Single Family/Duplex,2021-08-23T00:00:00.000
6761773-CN,New detached garage addition at existing single family residence.,Single Family/Duplex,2021-08-23T00:00:00.000
6753378-CN,"Establish use and Construct townhouses, per plan. Existing single-family residence to remain.",Multifamily,2021-08-23T00:00:00.000
6843516-CN,"Construct an accessory structure in rear yard of a single-family residence, subject to field inspection (STFI)",Single Family/Duplex,2021-08-20T00:00:00.000
6749994-CN,"Construct east townhouse, per plan. (Establish use as rowhouse and construct 2 townhouses.  Review & process 2 records under # 6703101-CN.)",Multifamily,2021-08-20T00:00:00.000
6703101-CN,"Construct west townhouse, per plan. (Establish use as rowhouse and construct 2 townhouses.  Review & process 2 records under # 6703101-CN.)",Multifamily,2021-08-20T00:00:00.000
6780693-CN,Complete and final permit  6571741-CN.,Multifamily,2021-08-19T00:00:00.000
6755433-CN,"Establish use as and construct new single family residence (Building D), per plan (Construct (4) new single family residences and remove existing detached garage, review and process for 4 CN's under 6739509-CN)",Single Family/Duplex,2021-08-18T00:00:00.000
6782867-CN,"Construct west single-family residence, per plan. (Establish use as and construct two single-family residences. Review and process for two record numbers under 6782867-CN)",Multifamily,2021-08-18T00:00:00.000
6625391-CN,Construct substantial alteration and additions to existing single family residence per plan.,Single Family/Duplex,2021-08-17T00:00:00.000
6622162-CN,"Construct East bldg. per plans. (Establish use as and construct 2 townhouse buildings, per plans. Review and processing for 2 AP""s under 6622162)",Multifamily,2021-08-17T00:00:00.000
6707431-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-08-16T00:00:00.000
6738742-CN,"Establish use and construction of an apartment building and occupy, per plan",Multifamily,2021-08-13T00:00:00.000
6835892-CN,"Construct deck to SFR, subject to field inspection, STFI.",Single Family/Duplex,2021-08-12T00:00:00.000
6712613-CN,"Establish use as and construct new single family residence, existing garage to be removed, per plan.",Single Family/Duplex,2021-08-12T00:00:00.000
6651023-CN,"Establish use as and construct row house with attached garage, per plan",Multifamily,2021-08-12T00:00:00.000
6669098-CN,"Establish use as rowhouse and construct a five unit townhouse structure, per plan.",Multifamily,2021-08-12T00:00:00.000
6700681-CN,"Construct east townhouse, per plan. [Establish use as rowhouse and townhouse and Construct two new townhouse structures, per plan. Review and processing for two construction records under 6700681-CN.]",Multifamily,2021-08-11T00:00:00.000
6702416-CN,"Construct west townhouse, per plan. [Establish use as rowhouse and townhouse and Construct two new townhouse structures, per plan. Review and processing for two construction records under 6700681-CN.]",Multifamily,2021-08-11T00:00:00.000
6740438-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2021-08-10T00:00:00.000
6778611-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-08-06T00:00:00.000
6755430-CN,"Establish use as and construct new single family residence (Building C), per plan (Construct (4) new single family residences and remove existing detached garage, review and process for 4 CN's under 6739509-CN)",Single Family/Duplex,2021-08-06T00:00:00.000
6739509-CN,"Establish use as and construct new single family residence (Building A), per plan (Construct (4) new single family residences and remove existing detached garage, review and process for 4 CN's under 6739509-CN)",Single Family/Duplex,2021-08-06T00:00:00.000
6811464-CN,"Remove detached garage and build new detached garage to a single-family residence, subject to field inspection (STFI).",Single Family/Duplex,2021-08-05T00:00:00.000
6705865-CN,Establish use and Construct new floating home and accessory float per plan.,Single Family/Duplex,2021-08-05T00:00:00.000
6728830-CN,"Establish use as and construct single family residence with attached accessory dwelling unit (AADU), and detached accessory dwelling unit (DADU), and detached garage, per plan.",Single Family/Duplex,2021-08-05T00:00:00.000
6764521-CN,"Establish use and Construct single-family residence with attached accessory dwelling unit [AADU] and detached accessory dwelling unit [DADU], per plan.",Single Family/Duplex,2021-08-03T00:00:00.000
6719256-CN,"Establish use as and construct new townhouse structure, per plan.",Multifamily,2021-08-03T00:00:00.000
6486960-CN,"Construction of multifamily building with shared parking at level 1 and occupy, per plan.",Multifamily,2021-08-03T00:00:00.000
6755726-CN,"Establish use as and construct a single-family residence with an accessory dwelling unit in the basement, per plan",Single Family/Duplex,2021-07-30T00:00:00.000
6691260-CN,"Establish use as rowhouses and townhouses and Construct townhouse building, per plan.",Multifamily,2021-07-30T00:00:00.000
6714012-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2021-07-28T00:00:00.000
6646400-CN,"Construct new townhouse structure (bldg. 2) to the NE, per plan. (Establish use as and construct 2 new townhouses and 2 new duplexes, per plan.  Review & process for 4 records under permit #6646400-CN).",Multifamily,2021-07-27T00:00:00.000
6743394-CN,"Construct north single-family residence #2, per plan (Establish use as and construct 2 single-family residences with attached garages, per plan. Review and process for 2 record numbers under 6735850-CN)",Single Family/Duplex,2021-07-26T00:00:00.000
6735850-CN,"Construct south single-family residence #1, per plan (Establish use as and construct 2 single-family residences with attached garages, per plan. Review and process for 2 record numbers under 6735850-CN)",Single Family/Duplex,2021-07-26T00:00:00.000
6633838-CN,Establish use as rowhouse and construct new townhouse building per plan.,Multifamily,2021-07-26T00:00:00.000
6700278-CN,"Construct 4-unit townhouse (building 9), per plans.  (Establish use as live/work and townhouses and construct 12 live/work and townhouse buildings.  Reviews and processing for 12 construction records under 6616591-CN)",Multifamily,2021-07-23T00:00:00.000
6528498-CN,"Construct east apartment building and occupy, per plans. (Establish use for 2 multifamily structures and construct 2 apartment buildings. Reviews and processing for 2 A/Ps under 6528498)",Multifamily,2021-07-23T00:00:00.000
6748538-CN,"Establish use as single family residence and construct one family dwelling, per plans.",Single Family/Duplex,2021-07-22T00:00:00.000
6651136-CN,"Construct new North duplex building, per plan. (Construct (1) townhouse and (1) duplex with surface parking / review and process for 2 AP's under 6630111)",Multifamily,2021-07-22T00:00:00.000
6630111-CN,"Construct new South townhouse building, per plan. (Construct (1) townhouse and (1) duplex with surface parking / review and process for 2 AP's under 6630111).",Multifamily,2021-07-22T00:00:00.000
6750447-CN,"Construct middle single family residence (Establish use as and construct (3) single family residence, per plan.  Review and process for (3) records under 6731894-CN).",Multifamily,2021-07-21T00:00:00.000
6750449-CN,"Construct east single family residence (Establish use as and construct (3) single family residence, per plan.  Review and process for (3) records under 6731894-CN).",Single Family/Duplex,2021-07-21T00:00:00.000
6731894-CN,"Construct west single family residence (Establish use as and construct (3) single family residence, per plan.  Review and process for (3) records under 6731894-CN).",Single Family/Duplex,2021-07-21T00:00:00.000
6487952-CN,"Construction of an apartment building with below grade parking and occupy, per plan.",Multifamily,2021-07-21T00:00:00.000
6774098-CN,"Construct South duplex, per plan. (Establish use as duplex and townhouse and construct 1 duplex and 1 townhouse structure with surface parking. Review and process for 2 record numbers under 6751353-CN)",Single Family/Duplex,2021-07-20T00:00:00.000
6553214-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-07-20T00:00:00.000
6571361-CN,"Establish use as and construct single family residence with attached accessory dwelling unit, per plan",Single Family/Duplex,2021-07-19T00:00:00.000
6597844-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-07-19T00:00:00.000
6750499-CN,"Construct single family residence and occupy, per plan.  Remove detached garage.  Existing single family residence to remain.",Single Family/Duplex,2021-07-14T00:00:00.000
6623258-CN,"Establish use as and construct new single-family residence, per plan.",Single Family/Duplex,2021-07-14T00:00:00.000
6717923-CN,"Establish use and construct new single family residence on existing foundation, per plan.",Single Family/Duplex,2021-07-12T00:00:00.000
6695160-CN,"Construct south building (BLDG C), per plan (Construct 3 single family residence and associated site work, per plans. Review and process for 3 CN's under 6680074-CN).",Single Family/Duplex,2021-07-11T00:00:00.000
6695159-CN,"Construct middle building (BLDG B), per plan (Construct 3 single family residence and associated site work, per plans. Review and process for 3 CN's under 6680074-CN).",Single Family/Duplex,2021-07-11T00:00:00.000
6788021-CN,"Establish use and construct single-family residence, per plan. Existing detached accessory dwelling unit [DADU] to remain.",Single Family/Duplex,2021-07-09T00:00:00.000
6703381-CN,"Establish use as and construct a single-family residence including an Accessory Dwelling Unit, per plan.",Single Family/Duplex,2021-07-09T00:00:00.000
6719260-CN,"Construct west single family residence, per plan. (Establish use as and construct 3 SFR's, per plan. Review & process for 3 records under #6719260-CN).",Single Family/Duplex,2021-07-09T00:00:00.000
6721385-CN,"Construct middle single family residence, per plan. (Establish use as and construct 3 SFR's, per plan. Review & process for 3 records under #6719260-CN).",Single Family/Duplex,2021-07-09T00:00:00.000
6721398-CN,"Construct east single family residence, per plan. (Establish use as and construct 3 SFR's, per plan. Review & process for 3 records under #6719260-CN).",Single Family/Duplex,2021-07-09T00:00:00.000
6742318-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-07-09T00:00:00.000
6715465-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2021-07-09T00:00:00.000
6715462-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2021-07-09T00:00:00.000
6573426-CN,Construct apartment building with live/work units and attached parking.  Includes work in the ROW. New Swer Connection to the main.  Existing side sewer to be reused for drainage.,Multifamily,2021-07-09T00:00:00.000
6613845-CN,"Establish use as and construct a single-family residence and site work, per plans",Single Family/Duplex,2021-07-08T00:00:00.000
6601976-CN,"Construct East building, units 7 - 9, per plans. (Establish use as rowhouses and construct two townhouse buildings, per plans. Reviews and processing for 2 A/P's under 6601976).",Multifamily,2021-07-07T00:00:00.000
6694342-CN,"Establish use and Construct single-family residence and associated detached accessory dwelling unit [DADU], per plan.",Single Family/Duplex,2021-07-06T00:00:00.000
6619550-CN,"Construct south townhouse with attached underground garage, occupy per plan. (Construct two 4-unit townhouses / review and processing for two records under #6619550-CN)",Multifamily,2021-07-05T00:00:00.000
6693296-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-07-01T00:00:00.000
6571226-CN,"Construct west apartment building and occupy, per plans. (Establish use for 2 multifamily structures and construct 2 apartment buildings. Reviews and processing for 2 A/Ps under 6528498)",Multifamily,2021-07-01T00:00:00.000
6528831-CN,"Establish use and construct a new single family residence, per plan.",Single Family/Duplex,2021-07-01T00:00:00.000
6522304-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-07-01T00:00:00.000
6684515-CN,"Construct North single-family residence, per plan. (Establish use as single-family and construct two single-family residences with attached garages. Review and process for 2 records under #6678149-CN.)",Single Family/Duplex,2021-06-30T00:00:00.000
6678149-CN,Construct new duplex and SFR per plans.,Multifamily,2021-06-30T00:00:00.000
6695786-CN,"Establish use as and construct a single-family residence with attached accessory dwelling unit (AADU) and detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2021-06-29T00:00:00.000
6695785-CN,"Establish use as and construct a single-family residence with attached accessory dwelling unit (AADU). Construct a 2nd floor addition and substantial alterations to existing detached garage to create detached accessory dwelling unit (DADU), per plan",Single Family/Duplex,2021-06-29T00:00:00.000
6722010-CN,"Establish use as and construct new single family residence with attached garage, per plan.",Single Family/Duplex,2021-06-29T00:00:00.000
6636786-CN,"Establish use as and construct single family residence, per plans.",Single Family/Duplex,2021-06-29T00:00:00.000
6766515-CN,"Construct East single family residence with attached accessory dwelling unit, per plan. (Establish use as and construct 2 new single family residences with attached accessory dwelling unit, per plan.  Review & process for 2 records under permit #6735734-CN).",Single Family/Duplex,2021-06-28T00:00:00.000
6777651-CN,"Establish use as and construction single family residence, per plan.",Single Family/Duplex,2021-06-28T00:00:00.000
6722136-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2021-06-28T00:00:00.000
6698199-CN,"Construct North townhouse, per plan. (Construct two 4-unit townhouses / review and processing for two records under #6619550-CN).",Multifamily,2021-06-28T00:00:00.000
6624883-CN,"Establish use as and construct a single family residence, per plans.",Single Family/Duplex,2021-06-28T00:00:00.000
6620789-CN,"Alterations to existing multi-family building, per plan. (Construct substantial alterations to existing multi-family building, and establish use as and construct new townhouse building, occupy per plan. Reviews and processing for two Construction Records under 6620789.) - Geotechnical and Structural Special inspections are for 6675537-CN",Multifamily,2021-06-28T00:00:00.000
6735734-CN,"Construct West single family residence with attached accessory dwelling unit, per plan. (Establish use as and construct 2 new single family residences with attached accessory dwelling unit, per plan.  Review & process for 2 records under permit #6735734-CN).",Single Family/Duplex,2021-06-25T00:00:00.000
6674007-CN,"Construct new detached garage and studio accessory to single-family residence, per plan.",Single Family/Duplex,2021-06-25T00:00:00.000
6751353-CN,"Construct North townhouse, per plan. (Establish use as duplex and townhouse and construct 1 duplex and 1 townhouse structure with surface parking. Review and process for 2 record numbers under 6751353-CN)",Multifamily,2021-06-24T00:00:00.000
6780250-CN,"Construct west bldg. per plans (Establish use as and construct 2 townhouse buildings, per plans. Reviews and processing for 2 C/N's under 6776392)",Multifamily,2021-06-23T00:00:00.000
6776392-CN,"Construct east bldg. per plans (Establish use as and construct 2 townhouse buildings, per plans. Reviews and processing for 2 C/N's under 6776392)",Multifamily,2021-06-23T00:00:00.000
6717897-CN,"Construct new west duplex, per plan. [Establish use and Construct new duplex and new single-family residence, per plan. Review and processing for two construction records under 6692776-CN.]",Single Family/Duplex,2021-06-23T00:00:00.000
6678964-CN,"Establish use and Construct single-family residence, per plan.",Single Family/Duplex,2021-06-23T00:00:00.000
